# lmin lcenter lmax value +sigma -sigma
33  45	57  49.72913398886652	148.2839761248852	-43.34825528007343
58  70	82  -15.434869962307289	63.99793388429754	-89.30785123966939
83  95	107 -2.254796771543056	70.16471533516989	-76.24612603305775
108 120	132 -13.140613260706175	54.597107438016565	-85.62834224598919
133 145	157 -11.569241152927702	58.453856749311285	-79.06336088154262
158 170 182 0.674831895359489	82.15679522497709	-80.58999081726347
183 195 207 -19.915433378651016	68.2942391832766	-103.64304812834223
208 220	232 -49.00630840917802	45.39630578899852	-142.09710743801645
233 245	257 8.755858733346884	124.69919786096261	-108.19989669421477
258 270	282 -87.34551089406455	28.79823116086061	-204.70041322314046
283 295	307 -159.88716712580356	-38.04099608525439	-281.36545940690314
